Acre;880.631
Alagoas;3.220.104
Amapa;802.837
Amazonas;4.281.209
Bahia;14.850.513
Ceara;9.233.656
Distrito Federal;2.982.818
Espirito Santo;4.102.129
Goias;7.350.483
Maranhao;7.010.960
Mato Grosso do Sul;2.901.895
Mato Grosso;3.836.399
Minas Gerais;21.322.691
Para;8.664.306
Paraiba;4.145.040
Parana;11.824.665
Pernambuco;9.539.029
Piaui;3.375.646
Rio Grande do Norte;3.446.071
Rio Grande do Sul;11.229.915
Rio de Janeiro;17.219.679
Rondonia;1.746.227
Roraima;716.793
Santa Catarina;8.058.441
Sao Paulo;45.973.194
Sergipe;2.291.077
Tocantins;1.577.342
